description,category,amount,merchant,is_synthetic,is_augmented
$138 Applebees,dining,31.4,Wendy's,,True
Mobil ride via Apple Pay,transportation,33.38,Mobil,,True
Feb Weekly groceries,groceries,20.0,Safeway,,True
contract work invoice #5353,freelance,168.35,,,True
Electronics Macy's purchase,shopping,296.56,Kohl's,,True
Nov Taxi service,transportation,28.8,Train Ticket,,True
payment to Lunch at Burger King,dining,43.08,Wendy's,,True
at Groceries at Costco,groceries,53.38,Trader Joe's,,True
Housing Transaction via Visa,housing,1829.09,Property Tax,,True
Weekly groceries $13,groceries,51.23,Giant,,True
Restaurant meal,dining,51.45,McDonald's,True,
Purchase Sep,utilities,119.92,Phone Bill,,True
GAP SHOPPING,shopping,15.0,Best Buy,,True
Car maintenance Feb,transportation,45.15,Uber,,True
Consulting Services $102,freelance,766.05,,,True
Gas Station Ride,transportation,20.69,Exxon,,True
payment to Groceries at Safeway,groceries,83.56,Publix,,True
Electronics Gap,shopping,135.79,Nordstrom,True,
$97 Taxi service,transportation,22.93,Exxon,,True
Paycheck from Tech Corp via Apple Pay,salary,3532.74,,,True
$199 Car maintenance,transportation,21.47,Train Ticket,,True
Bank Transfer Jun,subscriptions,22.43,,,True
Bus Ticket ride Apr,transportation,45.27,Train Ticket,,True
Exxon Ride,transportation,15.39,Gas Station,,True
payment to Online purchase Home Depot,shopping,103.2,Best Buy,,True
$88 Fast food,dining,5.86,Dunkin',,True
Coffee at Domino's,dining,9.31,Applebees,True,
Monthly Salary Deposit $108,salary,6866.52,,,True
home depot order,shopping,15.0,Amazon,,True
Direct Deposit Salary via Google Pay,salary,5966.92,,,True
Online Purchase Macy'S,shopping,108.05,Home Depot,,True
Home goods $167,shopping,44.12,Lowe's,,True
Lunch at Subway,dining,20.98,Domino's,True,
Bank Transfer Nov,housing,928.2,Rent Payment,,True
$132 Payment for services,entertainment,24.97,Hulu,,True
McDonald's,dining,34.74,Applebees,True,
at Taco Bell,dining,19.34,Applebees,,True
Taxi service Jan,transportation,70.42,Uber,,True
Contract Work Invoice #4723,freelance,1074.03,,True,
Freelance Payment via Visa,freelance,1740.9,,,True
Home Depot shopping via Mastercard,shopping,190.35,Old Navy,,True
Purchase $14,entertainment,10.0,Disney+,,True
LUNCH AT SUBWAY,dining,72.16,Burger King,,True
Contract Work Invoice #6581,freelance,174.72,,True,
Purchase $168,housing,2596.12,Property Tax,,True
Lunch at Subway $98,dining,41.7,Burger King,,True
macy's order,shopping,115.64,Walmart,,True
$134 Bank Transfer,utilities,174.72,Electric Company,,True
Bank Transfer via Visa,subscriptions,24.24,,,True
Restaurant meal $190,dining,5.0,Burger King,,True
Gas At Uber,transportation,40.44,Mobil,,True
Exxon ride Aug,transportation,59.09,Shell,,True
$10 Lyft ride,transportation,32.43,BP,,True
Contract Work Invoice #6696 via Mastercard,freelance,100.0,,,True
Public transportation Jun,transportation,54.77,Mobil,,True
Gap order $139,shopping,15.0,Walmart,,True
Mar Weekly groceries,groceries,134.23,Trader Joe's,,True
Contract Work Invoice #9520,freelance,1369.48,,True,
Home goods $116,shopping,15.0,Macy's,,True
Sep Coffee at Taco Bell,dining,30.27,Pizza Hut,,True
Contract Work Invoice #9764,freelance,100.0,,True,
BP RIDE,transportation,20.59,Uber,,True
$98 Lunch at Subway,dining,41.7,Burger King,,True
Fast food May,dining,28.55,Domino's,,True
at Lunch at Taco Bell,dining,52.23,Panera Bread,,True
Utilities Transaction $47,utilities,30.0,Electric Company,,True
Contract Work Invoice #9460,freelance,2641.86,,True,
Dinner At Dunkin',dining,27.97,Burger King,,True
$179 Best Buy shopping,shopping,15.0,Lowe's,,True
at Olive Garden,dining,24.97,Chipotle,,True
Mar Car maintenance,transportation,10.0,Exxon,,True
Bank Transfer Jan,healthcare,213.68,Health Insurance,,True
Walmart shopping,shopping,15.0,eBay,True,
Utilities Transaction $15,utilities,41.7,Electric Company,,True
Subscriptions Transaction via Google Pay,subscriptions,13.56,,,True
Costco Grocery,groceries,110.98,Meijer,,True
Online purchase Amazon purchase,shopping,217.14,Best Buy,,True
Groceries at Meijer purchase,groceries,137.65,Publix,,True
$174 Gas at Bus Ticket,transportation,38.63,Shell,,True
at Dinner at Applebees,dining,18.99,Subway,,True
Nordstrom shopping,shopping,120.38,Target,True,
$174 Purchase,subscriptions,27.53,,,True
Dinner At Chick-Fil-A,dining,16.14,Dunkin',,True
Target grocery via Apple Pay,groceries,127.59,Target,,True
Lunch at Olive Garden,dining,26.38,Chick-fil-A,True,
Jun Consulting Services,freelance,2276.92,,,True
Sep Purchase,utilities,119.92,Phone Bill,,True
Public Transportation,transportation,54.77,Mobil,,True
Monthly Salary Deposit Feb,salary,6866.52,,,True
Bank Transfer via Mastercard,entertainment,42.8,Netflix,,True
Supermarket Purchase,groceries,78.45,Whole Foods,,True
Gas at Mobil purchase,transportation,46.51,BP,,True
aldi grocery,groceries,196.37,Walmart,,True
Utilities Transaction $7,utilities,230.5,Water Bill,,True
Bank Transfer $95,utilities,149.02,Phone Bill,,True
Contract Work Invoice #9836,freelance,100.0,,True,
Jan Taxi service,transportation,70.42,Uber,,True
ELECTRONICS HOME DEPOT,shopping,174.94,Lowe's,,True
Groceries At Walmart,groceries,79.93,Costco,,True
Dinner at Pizza Hut via Apple Pay,dining,28.55,Burger King,,True
Groceries at Trader Joe's $31,groceries,75.29,Walmart,,True
Freelance Payment $161,freelance,1740.9,,,True
Freelance Payment Nov,freelance,100.0,,,True
at Electronics Gap,shopping,63.84,Home Depot,,True
$157 Whole Foods grocery,groceries,58.6,Publix,,True
$26 Bank Transfer,utilities,141.94,Internet Service,,True
Clothing purchase Aug,shopping,100.01,Macy's,,True
Domino's,dining,57.26,Domino's,True,
dinner at wendy's,dining,33.36,Chick-fil-A,,True
$184 Supermarket purchase,groceries,119.38,Trader Joe's,,True
lunch at chipotle,dining,44.29,McDonald's,,True
GIANT GROCERY,groceries,81.55,Food Lion,,True
CLOTHING PURCHASE,shopping,100.01,Macy's,,True
Freelance Payment $40,freelance,2893.19,,,True
$188 Payment for services,utilities,80.82,Phone Bill,,True
Lunch at Starbucks,dining,33.76,Starbucks,True,
$71 Food shopping,groceries,38.76,Publix,,True
Bank Transfer $37,utilities,268.77,Cable TV,,True
coffee at starbucks,dining,11.16,Domino's,,True
payment to Lunch at Wendy's,dining,14.78,Subway,,True
Fast food $33,dining,37.85,Chick-fil-A,,True
COFFEE AT CHIPOTLE,dining,42.03,Wendy's,,True
Parking fee $184,transportation,10.0,Lyft,,True
$179 Car maintenance,transportation,40.0,Gas Station,,True
$71 Supermarket purchase,groceries,81.51,Walmart,,True
Target Shopping,shopping,76.61,Nordstrom,,True
Purchase May,subscriptions,30.48,,,True
Costco grocery purchase,groceries,110.98,Meijer,,True
Publix Grocery,groceries,113.23,Publix,,True
Contract Work Invoice #7203,freelance,714.66,,True,
Groceries at Food Lion $48,groceries,115.94,Target,,True
at Coffee at Dunkin',dining,42.6,Pizza Hut,,True
Weekly groceries $59,groceries,20.0,Safeway,,True
at Dinner at Chick-fil-A,dining,16.14,Dunkin',,True
Shell Ride,transportation,39.76,Shell,,True
payment to Online purchase Lowe's,shopping,42.87,Amazon,,True
Online purchase Gap,shopping,15.0,Old Navy,True,
at Online purchase Best Buy,shopping,37.09,Kohl's,,True
Lunch at McDonald's,dining,23.83,Chipotle,True,
Weekly groceries Jan,groceries,34.93,Giant,,True
Aug Taxi service,transportation,28.04,Mobil,,True
subscriptions transaction,subscriptions,22.81,,,True
fast food,dining,14.8,Panera Bread,,True
Nordstrom order via Apple Pay,shopping,24.42,Nordstrom,,True
contract work invoice #4796,freelance,298.65,,,True
Amazon shopping purchase,shopping,207.21,Old Navy,,True
$136 Applebees,dining,14.25,Domino's,,True
Weekly groceries $41,groceries,20.0,Walmart,,True
ELECTRONICS AMAZON,shopping,327.96,Lowe's,,True
Payment for services $19,entertainment,10.0,YouTube Premium,,True
Online purchase Lowe's,shopping,110.56,Home Depot,True,
Contract Work Invoice #5251,freelance,100.0,,True,
contract work invoice #1491,freelance,2660.79,,,True
CONTRACT WORK INVOICE #5353,freelance,168.35,,,True
Gap Order,shopping,15.0,Target,,True
at Home Depot shopping,shopping,190.35,Old Navy,,True
$181 Purchase,entertainment,38.96,Spotify,,True
May Purchase,entertainment,10.0,HBO Max,,True
Car maintenance $27,transportation,13.4,Parking,,True
Kohl's order purchase,shopping,204.99,Walmart,,True
Dinner at McDonald's purchase,dining,21.2,Wendy's,,True
$153 Taxi service,transportation,28.8,Train Ticket,,True
payment to Coffee at Chipotle,dining,42.03,Wendy's,,True
Coffee at Chipotle purchase,dining,42.03,Wendy's,,True
Feb Taxi service,transportation,43.1,Gas Station,,True
Purchase $171,healthcare,166.16,Pharmacy,,True
Contract Work Invoice #6335,freelance,100.0,,True,
at Walmart shopping,shopping,271.46,Old Navy,,True
Payment for services via Mastercard,entertainment,37.1,YouTube Premium,,True
best buy shopping,shopping,15.0,Lowe's,,True
$185 Public transportation,transportation,52.39,Train Ticket,,True
Kohl'S Shopping,shopping,125.5,Walmart,,True
Payment for services Jul,utilities,78.91,Phone Bill,,True
Taxi service via Visa,transportation,48.05,Shell,,True
payment to Home Depot shopping,shopping,190.35,Old Navy,,True
Nordstrom order via Google Pay,shopping,85.18,Best Buy,,True
Produce purchase $186,groceries,127.71,Food Lion,,True
Healthcare Transaction,healthcare,20.0,Doctor's Office,True,
Purchase $78,utilities,119.92,Phone Bill,,True
LUNCH AT DOMINO'S,dining,17.26,McDonald's,,True
Payment for services $107,entertainment,60.22,YouTube Premium,,True
payment to Kroger grocery,groceries,53.19,Safeway,,True
Online purchase Walmart,shopping,15.0,eBay,True,
Contract Work Invoice #7726,freelance,953.47,,True,
Bank Transfer Aug,utilities,210.72,Water Bill,,True
Payment for services via Google Pay,utilities,80.82,Phone Bill,,True
payment to Giant grocery,groceries,81.55,Food Lion,,True
GROCERIES AT PUBLIX,groceries,31.17,Safeway,,True
Coffee At Dunkin',dining,42.6,Pizza Hut,,True
at Groceries at Whole Foods,groceries,102.84,Target,,True
Lunch at Pizza Hut via Apple Pay,dining,28.96,McDonald's,,True
Groceries at Costco via PayPal,groceries,53.38,Trader Joe's,,True
Aldi Grocery,groceries,196.37,Walmart,,True
Food Lion grocery $106,groceries,57.26,Food Lion,,True
payment to Groceries at Walmart,groceries,79.93,Costco,,True
contract work invoice #4338,freelance,1727.35,,,True
Home goods Dec,shopping,190.08,Old Navy,,True
Apr Supermarket purchase,groceries,33.05,Kroger,,True
at Dinner at Dunkin',dining,27.97,Burger King,,True
BP ride,transportation,41.26,Uber,True,
Payment for services Aug,healthcare,86.85,Dentist,,True
Paycheck From Innovation Co,salary,4489.71,,,True
Dinner at Chick-fil-A,dining,10.51,Dunkin',True,
Subscriptions Transaction $83,subscriptions,30.98,,,True
$18 Freelance Payment,freelance,100.0,,,True
Payment for services via Apple Pay,utilities,219.53,Cable TV,,True
Coffee At Mcdonald'S,dining,40.42,Applebees,,True
$28 Entertainment Transaction,entertainment,85.93,Sports Game,,True
Purchase Oct,entertainment,38.96,Spotify,,True
Direct Deposit Salary $134,salary,5084.29,,,True
Coffee at Applebees purchase,dining,56.65,Domino's,,True
COFFEE AT TACO BELL,dining,30.27,Pizza Hut,,True
$132 Fast food,dining,30.69,McDonald's,,True
$161 Freelance Payment,freelance,1740.9,,,True
$14 Purchase,entertainment,10.0,Disney+,,True
Gas at Shell,transportation,10.0,Exxon,True,
Dinner at Olive Garden,dining,49.67,Olive Garden,True,
CONTRACT WORK INVOICE #2275,freelance,485.24,,,True
Clothing purchase via Mastercard,shopping,15.0,Best Buy,,True
Electronics Amazon,shopping,201.64,Macy's,True,
GAS AT BUS TICKET,transportation,38.63,Shell,,True
Car maintenance $186,transportation,11.67,Uber,,True
Lowe's order Aug,shopping,15.0,Lowe's,,True
Food shopping,groceries,89.57,Aldi,True,
CONSULTING SERVICES,freelance,766.05,,,True
Gas At Mobil,transportation,46.51,BP,,True
Contract Work Invoice #4001,freelance,528.8,,True,
Payment for services $177,subscriptions,5.0,,,True
Nov Consulting Services,freelance,2515.12,,,True
Jul Parking fee,transportation,31.55,Exxon,,True
GAS STATION RIDE,transportation,20.69,Exxon,,True
Contract Work Invoice #9336,freelance,2294.85,,True,
Lunch at Olive Garden purchase,dining,25.37,Chick-fil-A,,True
Exxon ride via Visa,transportation,42.68,Bus Ticket,,True
Lunch at Chipotle purchase,dining,44.29,McDonald's,,True
Contract Work Invoice #5353,freelance,1545.08,,True,
Purchase via Mastercard,entertainment,33.74,Spotify,,True
Contract Work Invoice #4217,freelance,100.0,,True,
contract work invoice #1381,freelance,1376.02,,,True
Groceries at Kroger Sep,groceries,105.71,Food Lion,,True
Contract Work Invoice #7347,freelance,1298.59,,True,
Coffee at Dunkin' via Visa,dining,54.02,Applebees,,True
utilities transaction,utilities,286.07,Internet Service,,True
Dec Chick-fil-A,dining,20.68,Domino's,,True
Coffee At Taco Bell,dining,30.27,Pizza Hut,,True
Gas at Lyft via Mastercard,transportation,21.5,Shell,,True
payment to Electronics Macy's,shopping,296.56,Kohl's,,True
Contract Work Invoice #5100 $101,freelance,100.0,,,True
at Lunch at Panera Bread,dining,11.1,Olive Garden,,True
lunch at starbucks,dining,48.5,Chipotle,,True
Healthcare Transaction via Google Pay,healthcare,20.0,Hospital,,True
Restaurant Meal,dining,5.0,Starbucks,,True
Walmart Grocery,groceries,89.68,Whole Foods,,True
Macy's order purchase,shopping,115.64,Walmart,,True
Old Navy order via Visa,shopping,15.0,Target,,True
Contract Work Invoice #1382,freelance,690.49,,True,
Contract Work Invoice #4835,freelance,100.0,,True,
Exxon ride,transportation,10.0,Gas Station,True,
at Groceries at Publix,groceries,31.17,Safeway,,True
Coffee at Burger King,dining,10.59,Taco Bell,True,
$110 Payment for services,entertainment,10.0,Arcade,,True
gas at gas station,transportation,11.4,Gas Station,,True
Payment for services $157,utilities,78.91,Phone Bill,,True
Payment for services Apr,entertainment,56.58,Netflix,,True
Electronics Best Buy purchase,shopping,15.0,Target,,True
Contract Work Invoice #2327,freelance,2531.01,,True,
SHELL RIDE,transportation,39.76,Shell,,True
Contract Work Invoice #9406,freelance,100.0,,True,
payment to Mobil ride,transportation,33.38,Mobil,,True
Payment for services,entertainment,28.96,Bowling,True,
Purchase $37,subscriptions,8.36,,,True
Produce purchase Sep,groceries,50.16,Food Lion,,True
Payment for services,utilities,144.4,Trash Service,True,
Coffee at Panera Bread purchase,dining,32.48,Taco Bell,,True
Contract Work Invoice #4415,freelance,1468.98,,True,
Contract Work Invoice #8762,freelance,1316.61,,True,
trader joe's grocery,groceries,105.95,Walmart,,True
$32 Subscriptions Transaction,subscriptions,18.46,,,True
Gas at Metro Transit purchase,transportation,23.82,BP,,True
$56 Taxi service,transportation,70.42,Uber,,True
Old Navy shopping purchase,shopping,15.0,Nordstrom,,True
$75 Housing Transaction,housing,1089.63,Property Tax,,True
payment to Gas at BP,transportation,72.04,Shell,,True
Electronics Walmart via Mastercard,shopping,481.95,Target,,True
purchase,entertainment,85.38,Concert,,True
LUNCH AT STARBUCKS,dining,48.5,Chipotle,,True
$86 Bank Transfer,entertainment,68.86,Arcade,,True
Purchase,utilities,93.32,Water Bill,True,
$8 Nordstrom shopping,shopping,196.13,Best Buy,,True
Safeway grocery purchase,groceries,110.09,Food Lion,,True
Home Depot order purchase,shopping,15.0,Amazon,,True
Electronics Nordstrom,shopping,123.73,Walmart,True,
payment to Lunch at Taco Bell,dining,52.23,Panera Bread,,True
Groceries at Giant,groceries,30.48,Whole Foods,True,
$22 Bank Transfer,subscriptions,23.94,,,True
$39 Parking fee,transportation,28.67,Exxon,,True
Taxi service via Apple Pay,transportation,70.42,Uber,,True
home depot shopping,shopping,190.35,Old Navy,,True
CONTRACT WORK INVOICE #9798,freelance,1613.61,,,True
FOOD LION GROCERY,groceries,47.79,Safeway,,True
Bank Transfer via Apple Pay,entertainment,40.77,Hulu,,True
$89 Payment for services,housing,1384.03,Mortgage,,True
payment to Lunch at Chipotle,dining,44.29,McDonald's,,True
$96 Weekly groceries,groceries,40.91,Giant,,True
$25 Lowe's shopping,shopping,15.0,Lowe's,,True
Coffee At Wendy'S,dining,35.61,Burger King,,True
paycheck from global solutions,salary,6752.29,,,True
Gap order,shopping,134.87,Gap,True,
Lunch At Panera Bread,dining,11.1,Olive Garden,,True
Paycheck from Acme Inc,salary,4569.43,,True,
Lunch at Chick-fil-A purchase,dining,35.43,Wendy's,,True
Groceries at Food Lion Jul,groceries,96.95,Kroger,,True
Bank Transfer via PayPal,entertainment,12.05,Concert,,True
Kohl's shopping,shopping,103.87,Home Depot,True,
Bank Transfer $36,housing,1858.88,HOA Fees,,True
Kohl's shopping Jun,shopping,207.65,Lowe's,,True
Contract Work Invoice #3197,freelance,325.53,,True,
Taxi service,transportation,10.0,BP,True,
$74 Bank Transfer,entertainment,10.0,Sports Game,,True
Contract Work Invoice #4338 via Google Pay,freelance,1727.35,,,True
Olive Garden,dining,62.63,Applebees,True,
walmart grocery,groceries,89.68,Whole Foods,,True
Home goods $157,shopping,118.74,Kohl's,,True
Purchase via Mastercard,subscriptions,24.55,,,True
healthcare transaction,healthcare,20.0,Hospital,,True
$108 Dinner at Chick-fil-A,dining,16.14,Dunkin',,True
Contract Work Invoice #8932,freelance,351.89,,,True
Freelance Payment Sep,freelance,607.14,,,True
$103 Housing Transaction,housing,1829.09,Property Tax,,True
Jul Direct Deposit Salary,salary,3812.21,,,True
at Coffee at Panera Bread,dining,32.48,Taco Bell,,True
dinner at burger king,dining,35.94,Starbucks,,True
Purchase Jan,utilities,30.0,Electric Company,,True
Contract Work Invoice #2758,freelance,1698.73,,True,
Entertainment Transaction $114,entertainment,23.58,Bowling,,True
payment for services,entertainment,58.16,HBO Max,,True
Payment for services Aug,utilities,63.28,Cable TV,,True
Kroger grocery purchase,groceries,53.19,Safeway,,True
gas at bp,transportation,72.04,Shell,,True
Bank Transfer $109,subscriptions,13.31,,,True
Giant grocery,groceries,45.38,Target,True,
CONTRACT WORK INVOICE #6963,freelance,241.86,,,True
taxi service,transportation,43.1,Gas Station,,True
Dinner at Chick-fil-A via PayPal,dining,16.14,Dunkin',,True
car maintenance,transportation,73.62,Metro Transit,,True
Lunch at Taco Bell via Apple Pay,dining,10.78,Domino's,,True
Gas at Shell purchase,transportation,44.1,Shell,,True
Bank Transfer $142,healthcare,27.4,Health Insurance,,True
Paycheck from Tech Corp via Visa,salary,3519.53,,,True
$172 Payment for services,subscriptions,18.95,,,True
Nov Housing Transaction,housing,1829.09,Property Tax,,True
contract work invoice #3200,freelance,1665.41,,,True
GROCERIES AT FOOD LION,groceries,78.13,Walmart,,True
